id,label,unit,description,year,value,color,opacity,stroke,source,source_question_code,source_url,source_main_value,source_low_ci,source_high_ci,transform
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2014,1.673,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.673,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2016,1.679,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.679,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2018,1.586,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.586,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2021,1.307,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.307,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2022,1.273,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.273,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2000,35.094,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,35.094,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2002,33.775,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,33.775,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2004,33.858,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,33.858,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2006,32.486,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,32.486,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2008,32.219,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,32.219,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2010,32.117,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,32.117,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2012,31.77,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,31.77,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2014,29.621,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,29.621,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2016,31.914,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,31.914,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2018,33.848,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,33.848,,,weighted_gss
social_trust,Trust,%,GSS: share of adults saying most people can be trusted.,2022,26.169,#7bd88f,0.2,#7bd88f,GSS 1972-2024 cumulative release R3,TRUST,https://gssdataexplorer.norc.org/variables/trust/vshow,26.169,,,weighted_gss
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,1999,71.7,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.3,27.1,29.5,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2001,71.7,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.3,26.9,29.7,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2003,71.4,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.6,26.9,30.3,inverse
